,location,total_sqft,bath,price,bhk
0,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
1,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
2,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
3,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
4,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
5,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
6,5th Block Hbr Layout,1206.0,2.0,56.0,2
7,5th Block Hbr Layout,1270.0,2.0,70.0,3
8,5th Block Hbr Layout,1312.0,2.0,69.0,2
9,5th Block Hbr Layout,1100.0,2.0,48.0,2
10,5th Block Hbr Layout,3600.0,5.0,130.0,5
11,5th Block Hbr Layout,5100.0,5.0,300.0,6
12,6th Phase JP Nagar,1192.0,2.0,74.0,2
13,6th Phase JP Nagar,1180.0,2.0,80.0,2
14,6th Phase JP Nagar,3245.0,4.0,250.0,4
15,6th Phase JP Nagar,1645.0,3.0,100.0,3
16,6th Phase JP Nagar,1140.0,2.0,65.0,2
17,6th Phase JP Nagar,2040.0,3.0,200.0,3
18,6th Phase JP Nagar,1213.0,2.0,63.0,2
19,6th Phase JP Nagar,1216.0,2.0,60.0,2
20,6th Phase JP Nagar,1460.0,2.0,80.0,2
21,6th Phase JP Nagar,2003.0,3.0,200.0,3
22,6th Phase JP Nagar,1810.0,3.0,131.0,3
23,6th Phase JP Nagar,1515.0,2.0,135.0,3
24,6th Phase JP Nagar,1192.0,2.0,75.0,2
25,6th Phase JP Nagar,1280.0,2.0,88.0,2
26,7th Phase JP Nagar,1080.0,2.0,72.0,2
27,7th Phase JP Nagar,1270.0,2.0,93.0,2
28,7th Phase JP Nagar,1420.0,2.0,100.0,3
29,7th Phase JP Nagar,1850.0,3.0,150.0,3
30,7th Phase JP Nagar,1245.0,2.0,94.0,2
31,7th Phase JP Nagar,1175.0,2.0,82.0,2
32,7th Phase JP Nagar,1400.0,2.0,95.0,3
33,7th Phase JP Nagar,2225.0,3.0,160.0,3
34,7th Phase JP Nagar,1050.0,2.0,71.0,2
35,7th Phase JP Nagar,1100.0,2.0,46.0,2
36,7th Phase JP Nagar,918.0,2.0,50.49,2
37,7th Phase JP Nagar,1450.0,2.0,100.0,3
38,7th Phase JP Nagar,1190.0,2.0,49.98,2
39,7th Phase JP Nagar,1420.0,2.0,96.0,3
40,7th Phase JP Nagar,1680.0,3.0,120.0,3
41,7th Phase JP Nagar,980.0,2.0,69.0,2
42,7th Phase JP Nagar,1180.0,2.0,72.0,2
43,7th Phase JP Nagar,1050.0,2.0,57.0,3
44,7th Phase JP Nagar,1343.0,2.0,56.41,3
45,7th Phase JP Nagar,1405.0,2.0,59.01,3
